,column,desc
662,rplace, Respondent's relationship to household head.
663,rvisitor, Is respondent a visitor?
664,visitors, Number of visitors in household.
665,relhh1, What is (PERSON)âs relationship to head of household?) Relationship of first person to head of household?
666,relhh2, Relationship of second person to head of household?
667,relhh3, Relationship of third person to head of household?
668,relhh4, Relationship of fourth person to head of household?
669,relhh5, Relationship of fifth person to head of household?
670,relhh6, Relationship of sixth person to head of household?
671,relhh7, Relationship of seventh person to head of household?
672,relhh8, Relationship of eighth person to head of household?
673,relhh9, Relationship of ninth person to head of household?
674,relhh10, Relationship of tenth person to head of household?
675,relhh11, Relationship of eleventh person to head of household?
676,relhh12, Relationship of twelfth person to head of household?
677,relhh13, Relationship of thirteenth person to head of household?
678,relhh14, Relationship of fourteenth person to head of household?
679,relsp1, What is (NAME)âs relationship to spouse? Relationship of first person to spouse?
680,relsp2, Relationship of second person to spouse?
681,relsp3, Relationship of third person to spouse?
682,relsp4, Relationship of fourth person to spouse?
683,relsp5, Relationship of fifth person to spouse?
684,relsp6, Relationship of sixth person to spouse?
685,relsp7, Relationship of seventh person to spouse?
686,relsp8, Relationship of eighth person to spouse?
687,relsp9, Relationship of ninth person to spouse?
688,relsp10, Relationship of tenth person to spouse?
689,relsp11, Relationship of eleventh person to spouse?
690,relsp12, Relationship of twelfth person to spouse?
691,relsp13, Relationship of thirteenth person to spouse?
692,relsp14, Relationship of fourteenth person to spouse?
693,intfarm," Agricultural and farm issues. (Are you very interested, moderately interested, or not at all interested?)"
694,inteduc," Local school issues. (Are you very interested, moderately interested, or not at all interested?)"
695,intsci," Issues about new scientific discoveries. (Are you very interested, moderately interested, or not at all interested?)"
696,intecon," Economic issues and business conditions. (Are you very interested, moderately interested, or not at all interested?)"
697,inttech," Issues about the use of new inventions and technologies. (Are you very interested, moderately interested, or not at all interested?)"
698,intmed," Issues about new medical discoveries. (Are you very interested, moderately interested, or not at all interested?)"
699,intspace," Issues about space exploration. (Are you very interested, moderately interested, or not at all interested?)"
700,intenvir," Issues about environmental pollution. (Are you very interested, moderately interested, or not at all interested?)"
701,intmil," Issues about military and defense policy. (Are you very interested, moderately interested, or not at all interested?)"
702,newsfrom," We are interested in how people get information about events in the news. Where do you get most of your information about current news events â newspapers, magazines, the Internet, books or other printed materials, TV, radio, government agencies, family, friends, colleagues, or some other source?"
703,scifrom," Where do you get most of your information about science and technology (newspapers, magazines, the Internet, books or other printed materials, TV, radio, government agencies, family, friends, colleagues, or some other source)?"
704,seeksci," If you wanted to learn about scientific issues such as global warming or biotechnology, where would you get information (â newspapers, magazines, the Internet, books or other printed materials, TV, radio, government agencies, family, friends, colleagues, or some other source)?"
705,scinews1, You said you get most of your information about science and technology from newspapers. Would that be printed newspapers or online newspapers?
706,scinews2, You said you get most of your information about science and technology from magazines. Would that be printed magazines or online magazines?
707,scinews3," You said you get most of your information about science and technology from the Internet. What is the place you are most likely to go on the Internet for science and technology informationâ online newspapers, online magazines, or some other place on the Internet?"
708,visnhist, How many times did you visit a natural history museum during the last year?
709,viszoo, How many times did you visit a zoo or aquarium during the last year?
710,vissci, How many times did you visit a science or technology museum during the last year?
711,nextgen," For each statement, please tell me if you strongly agree, agree, disagree, or strongly disagree. Because of science and technology, there will be more opportunities for the next generation."
712,toofast," Science makes our way of life change too fast. (Do you strongly agree, agree, disagree, or strongly disagree?)"
713,advfront," Even if it brings no immediate benefits, scientific research that advances the frontiers of knowledge is necessary and should be supported by the federal government. (Do you strongly agree, agree, disagree, or strongly disagree?)"
714,scientgo," Scientific researchers are dedicated people who work for the good of humanity. Do you strongly agree, agree, disagree, or strongly disagree?"
715,scientbe," Most scientists want to work on things that will make life better for the average person. (Do you strongly agree, agree, disagree, or strongly disagree?)"
716,scienthe," Scientists are helping to solve challenging problems. (Do you strongly agree, agree, disagree, or strongly disagree?)"
717,scientod," Scientists are apt to be odd and peculiar people. (Do you strongly agree, agree, disagree, or strongly disagree?)"
718,astrolgy," Now, for a new subject. Do you ever read a horoscope or your personal astrology report?"
719,astrosci," Would you say that astrology is very scientific, sort of scientific, or not at all scientific?"
720,scibnfts," Would you say that, on balance, the benefits of scientific research have outweighed the harmful results, or have the harmful results of scientific research been greater than its benefits?"
721,scibnftsv," Would you say that, on balance, the benefits of scientific research have outweighed the harmful results, or have the harmful results of scientific research been greater than its benefits?"
722,balpos," Would you say that the balance has been strongly in favor of the benefits, or only slightly?"
723,balneg," Would you say that the balance has been strongly in favor of the harmful results, or only slightly?"
724,nukegen," Letâs also talk about some specific issues that are sometimes in the news. In general, do you think that nuclear power stations are . . ."
725,genegen," And, do you think that modifying the genes of certain crops is . . ."
726,tempgen," In general, do you think that a rise in the world's temperature caused by the âgreenhouse effectâ, is . . ."
727,chemgen," In general, do you think pesticides and chemicals used in farming are . . ."
728,indusgen," In general, do you think that air pollution caused by industry, is . . ."
729,watergen," In general, do you think that pollution of Americaâs rivers, lakes, and streams is . . ."
730,nanowill," Nanotechnology works at the molecular level atom by atom to build new structures, materials, and machines. People have frequently noted that new technologies have produced both benefits and harmful results. Do you think the benefits of nanotechnology will outweigh the harmful results or the harmful results will outweigh the benefits?"
731,nanoben," Would you say that the balance will be strongly in favor of the benefits, or only slightly?"
732,nanoharm," Would you say that the balance will be strongly in favor of the harmful results, or only slightly?"
733,scistudy," We are interested in how many people recognize certain kinds of terms. First, some articles refer to the results of a scientific study. When you read or hear the term scientific study, do you have a clear understanding of what it means, a general sense of what it means, or little understanding of what it means?"
734,scitext," In your own words, could you tell me what it means to study something scientifically?"
735,expdesgn," Now, please think about this situation. Two scientists want to know if a certain drug is effective against high blood pressure. The first scientist wants to give the drug to one thousand people with high blood pressure and see how many of them experience lower blood pressure levels. The second scientist wants to give the drug to five hundred people with high blood pressure, and not give the drug to another five hundred people with high blood pressure, and see how many in both groups experience lower blood pressure levels. Which is the better way to test this drug?"
736,exptext, Why it is better to test the drug this way?
737,odds1," Think about this situation. A doctor tells a couple that their genetic makeup means that they've got one in four chances of having a child with an inherited illness. Does this mean that if their first child has the illness, the next three will not have the illness?"
738,odds2, Does this mean that each of the couple's children will have the same risk of suffering from the illness?
739,hotcore," (Now, I would like to ask you a few short questions like those you might see on a television game show. For each statement that I read, please tell me if it is true or false. If you don't know or aren't sure, just tell me so, and we will skip to the next question. Remember true, false, or donât know.) First, the center of the Earth is very hot. Is that true or false?"
740,radioact, All radioactivity is man-made. (Is that true or false?)
741,boyorgrl, It is the father's gene that decides whether the baby is a boy or a girl. (Is that true or false?)
742,lasers, Lasers work by focusing sound waves. (Is that true or false?)
743,electron, Electrons are smaller than atoms. (Is that true or false?)
744,viruses, Antibiotics kill viruses as well as bacteria. (Is that true or false?)
745,bigbang, The universe began with a huge explosion. (Is that true or false?)
746,bigbang2, The universe has been expanding ever since it began. (Is that true or false?)
747,bigbang1," According to astronomers, the universe began with a huge explosion. (Is that true or false)"
748,condrift, The continents on which we live have been moving their locations for millions of years and will continue to move in the future. (Is that true or false?)
749,evolved," Human beings, as we know them today, developed from earlier species of animals. (Is that true or false?)"
750,evolved2," Elephants, as we know them today, descended from earlier species of animals. (Is that true or false?)"
751,earthsun," Now, we have another kind of question. Does the Earth go around the Sun, or does the Sun go around the Earth?"
752,solarrev," How long does it take for the Earth to go around the Sun: one day, one month, or one year?"
753,coldeg1, What is the highest degree you have earned?
754,majorcol, In what field was that degree?
755,colsci, Have you ever taken any college-level science courses?
756,colscinm, How many college-level science courses have you taken?
757,hsmath," Now, let me ask you to think about the courses you took in high school. What was the highest level of math that you completed in high school?"
758,hsbio, Did you take a high school biology course?
759,hschem, Did you take a high school chemistry course?
760,hsphys, Did you take a high school physics course?
761,opwlth," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is coming from a wealthy family?"
762,oppared," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is having well-educated parents?"
763,opeduc," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is having a good education yourself?"
764,ophrdwrk," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is hard work?"
765,opknow," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is knowing the right people?"
766,opclout," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is having political connections?"
767,opbribes," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is giving bribes?"
768,oprace," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is a personâs race?"
769,oprelig," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is a personâs religion?"
770,opsex," (For each of these, please tell me how important you think it is for getting ahead in life . . .) How important is being born a man or a woman?"
771,paydoc, About how much do you think a doctor in general practice earns?
772,payexec, How much do you think a chairman of a large national corporation earns?
773,payclerk, How much do you think a salesclerk earns?
774,payunskl, How much do you think an unskilled worker in a factory earns?
775,paycabnt, How much do you think a cabinet minister in the federal government earns?
776,givdoc, About how much do you think a doctor in general practice should earn?
777,givexec, How much do you think a chairman of a large national corporation should earn?
778,givclerk, How much do you think a salesclerk should earn?
779,givunskl, How much do you think an unskilled worker in a factory should earn?
780,givcabnt, How much do you think a cabinet minister in the federal government should earn?
781,incgap, To what extent do you agree or disagree with the following statements? Differences in income in America are too large.
782,goveqinc1, It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.
783,govunemp, The government should provide a decent standard of living for the unemployed.
784,mkt1, It is the responsibility of private companies to reduce the differences in pay between their employees with high pay and those with low pay.
785,respineq," From the following list, who do you think should have the greatest responsibility for reducing differences in income between people with high incomes and people with low incomes?"
786,govineq1, To what extent do you agree or disagree with the following statement: Most politicians in America do not care about reducing the differences in income between people with high incomes and people with low incomes.
787,govineq2, How successful do you think the government in America is nowadays in reducing the differences in income between people with high incomes and people with low incomes?
788,taxshare," Do you think people with high incomes should pay a larger share of their income in taxes than those with low incomes, the same share, or a smaller share?"
789,taxrich," Generally, how would you describe taxes in America today for those with high incomes? Taxes are . . ."
790,richhlth, Is it just or unjust â right or wrong â that people with higher incomes can buy better health care than people with lower incomes?
791,richeduc, Is it just or unjust â right or wrong â that people with higher incomes can buy better education for their children than people with lower incomes?
792,ineqmad," Some people feel angry about differences in wealth between the rich and the poor, while others do not. How do you feel when you think about differences in wealth between the rich and the poor in America? Please place yourself on a scale of 0 to 10, where 0 means not angry at all and 10 means extremely angry."
793,ldcgap," (Turning to international differences, to what extent do you agree or disagree with the following statements?) Present economic differences between rich and poor countries are too large."
794,ldctax," (Turning to international differences, to what extent do you agree or disagree with the following statements?) People in wealthy countries should make an additional tax contribution to help people in poor countries."
795,migrpoor," (Turning to international differences, to what extent do you agree or disagree with the following statements?) People from poor countries should be allowed to work in wealthy countries."
796,conwlth," (In all countries, there are differences or even conflicts between different social groups. In your opinion, in America how much conflict is there between . . .) Poor people and rich people?"
797,conclass," (In all countries, there are differences or even conflicts between different social groups. In your opinion, in America how much conflict is there between . . .) The working class and the middle class?"
798,conunion," (In all countries, there are differences or even conflicts between different social groups. In your opinion, in America how much conflict is there between . . .) Management and workers?"
799,conage," (In all countries, there are differences or even conflicts between different social groups. In your opinion, in America how much conflict is there between . . .) Young people and older people?"
800,conimm," (In all countries, there are differences or even conflicts between different social groups. In your opinion, in America how much conflict is there between . . .) People born in America and people from other countries who have come to live in America?"
801,rank1, In our society there are groups which tend to be towards the top and groups which tend to be towards the bottom. Below is a scale that runs from top to bottom. Where would you put yourself now on this scale?
802,rank16," If you think about the family that you grew up in, where did they fit in then?"
803,rank10fut," (In our society there are groups which tend to be towards the top and groups which tend to be towards the bottom. On the diagram is a scale that runs from top to bottom.) And thinking ahead 10 years from now, where do you think you will be on a scale of 1 to 10, where 1 is the top and 10 the bottom?"
804,payresp," (In deciding how much people ought to earn, how important should each of these things be, in your opinion . . .) How much responsibility goes with the job â how important do you think that ought to be in deciding pay?"
805,payedtrn," (In deciding how much people ought to earn, how important should each of these things be, in your opinion . . .) The number of years spent in education and training?"
806,paychild," (In deciding how much people ought to earn, how important should each of these things be, in your opinion . . .) Whether the person has children to support?"
807,paydowel," (In deciding how much people ought to earn, how important should each of these things be, in your opinion . . .) How well he or she does the job?"
808,soctype1," (These five diagrams show different types of society. Please read the descriptions and look at the diagrams and decide which you think best describes America . . .) First, what type of society is America today â which diagram comes closest?"
809,soctype2, What do you think America ought to be like â which would you prefer?
810,fairdist, How fair or unfair do you think the income distribution is in America?
811,contpoor," How often do you have any contact with people who are a lot poorer than you when you are out and about? This might be in the street, on public transport, in shops, in your neighborhood, or at your workplace."
812,contrich," How often do you have any contact with people who are a lot richer than you when you are out and about? This might be in the street, on public transport, in shops, in your neighborhood, or at your workplace."
813,endsmeet," Thinking of your household's total income, including all the sources of income of all the members who contribute to it, how difficult or easy is it currently for your household to make ends meet?"
814,endsme12," And during the next 12 months, how difficult or easy do you think it will be for your household to make ends meet?"
815,skipmeal, How often do you or other members of your household skip a meal because there is not enough money for food?
816,cantrust," Generally speaking, would you say that people can be trusted or that you can't be too careful in dealing with people?"
817,class1, Most people see themselves as belonging to a particular class. Please tell me which social class you would say you belong to?
818,topprob1, Which of these issues is the most important for America today?
819,topprob2, Which is the next most important?
820,privent, (How much do you agree or disagree with each of these statements) Private enterprise is the best way to solve Americaâs economic problems.
821,goveqinc, It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.
822,imports, America should limit the import of foreign products in order to protect its national economy.
823,immlimit, America should limit immigration in order to protect our national way of life.
824,powrorgs, International organizations are taking away too much power from the American government.
825,postmat1," Please tell us the one thing you think should be America's highest priority, the most important thing it should do."
826,postmat2," And which one do you think should be Americaâs next highest priority, the second most important thing it should do?"
827,trust5," Generally speaking, would you say that most people can be trusted, or that you canât be too careful in dealing with people? Please tell me what you think, where 1 means you canât be too careful and 5 means most people can be trusted."
828,trresrch," (On a scale of 0 to 10, how much do you personally trust each of the following institutions? 0 means you do not trust an institution at all, and 10 means you trust it completely.) University research centers"
829,trmedia," (On a scale of 0 to 10, how much do you personally trust each of the following institutions? 0 means you do not trust an institution at all, and 10 means you trust it completely.) The news media"
830,trbusind," (On a scale of 0 to 10, how much do you personally trust each of the following institutions? 0 means you do not trust an institution at all, and 10 means you trust it completely.) Business and industry"
831,trlegis," (On a scale of 0 to 10, how much do you personally trust each of the following institutions? 0 means you do not trust an institution at all, and 10 means you trust it completely.) The U.S. Congress"
832,grncon," Generally speaking, how concerned are you about environmental issues? Please tell me what you think, where 1 means you are not at all concerned and 5 means you are very concerned."
833,enprbus," Here is a list of some different environmental problems. Which problem, if any, do you think is the most important for America as a whole?"
834,clmtcaus, There has been a lot of discussion about the worldâs climate and the idea it has been changing in recent decades. Which of the following statements comes closest to your opinion?
835,clmtwrld," On a scale from 0 to 10, how bad or good do you think the impacts of climate change will be for the world as a whole? 0 means extremely bad, 10 means extremely good."
836,clmtusa," On a scale from 0 to 10, how bad or good do you think the impacts of climate change will be for America? 0 means extremely bad, 10 means extremely good."
837,scigrn, (How much do you agree or disagree with each of these statements)? Modern science will solve our environmental problems with little change to our way of life.
838,grnecon, (How much do you agree or disagree with each of these statements?) We worry too much about the future of the environment and not enough about prices and jobs today
839,harmsgrn, (How much do you agree or disagree with each of these statements?) Almost everything we do in modern life harms the environment.
840,grnprog, (How much do you agree or disagree with each of these statements?) People worry too much about human progress harming the environment.
841,grwthelp," (And please tell me for each of these statements, how much you agree or disagree with it.) In order to protect the environment America needs economic growth."
842,grwtharm," (And please tell me for each of these statements, how much you agree or disagree with it.) Economic growth always harms the environment."
843,grnprice, How willing would you be to pay much higher prices in order to protect the environment?
844,grntaxes, And how willing would you be to pay much higher taxes in order to protect the environment?
845,grnsol, And how willing would you be to accept cuts in your standard of living in order to protect the environment?
846,naturdev," How willing would you be to accept a reduction in the size of Americaâs protected nature areas, in order to open them up for economic development?"
847,toodifme, How much do you agree or disagree with each of these statements? It is just too difficult for someone like me to do much about the environment.
848,ihlpgrn," (How much do you agree or disagree with each of these statements?) I do what is right for the environment, even when it costs more money or takes more time."
849,impgrn, (How much do you agree or disagree with each of these statements?) There are more important things to do in life than protect the environment.
850,othssame, (How much do you agree or disagree with each of these statements?) There is no point in doing what I can for the environment unless others do the same.
851,grnexagg, (How much do you agree or disagree with each of these statements?) Many of the claims about environmental threats are exaggerated.
852,helpharm, (How much do you agree or disagree with each of these statements?) I find it hard to know whether the way I live is helpful or harmful to the environment.
853,grneffme, (How much do you agree or disagree with each of these statements?) Environmental problems have a direct effect on my everyday life.
854,carsgen," In general, do you think that air pollution caused by cars is . . ."
855,indusgen1," In general, do you think that air pollution caused by industry is . . ."
856,chemgen1, And do you think that pesticides and chemicals used in farming are . . .
857,watergen1," And do you think that pollution of Americaâs rivers, lakes and streams is . . ."
858,tempgen1," In general, do you think that a rise in the worldâs temperature caused by climate change is . . ."
859,nukegen1, And do you think that nuclear power stations are . . .
860,busgrn, Which of these approaches do you think would be the best way of getting business and industry in America to protect the environment?
861,peopgrn, Which of these approaches do you think would be the best way of getting people and their families in America to protect the environment?
862,enjoynat,
863,activnat," In the last twelve months how often, if at all, have you engaged in any leisure activities outside in nature, such as hiking, bird watching, swimming, skiing, other outdoor activities or just relaxing?"
864,planetrp," In the last twelve months, how many trips did you make by plane? Count outward and return journeys, including transfers, as one trip."
865,carhr," In a typical week, about how many hours do you spend in a car or another motor vehicle, including motorcycles, trucks, and vans, but not counting public transport? Do not include shared rides in buses, collective taxis, or carpooling services."
866,eatmeat," In a typical week, on how many days do you eat beef, lamb, or products that contain them?"
867,numrooms," How many rooms are there in your home (apartment or house)? Do not count any separate kitchens, bathrooms, garages, balconies, hallways or cupboards."
868,recycle, How often do you make a special effort to sort glass or cans or plastic or newspapers and so on for recycling?
869,nobuygrn, And how often do you avoid buying certain products for environmental reasons?
870,grngroup, Are you a member of any group whose main aim is to preserve or protect the environment?
871,grnsign," In the last five years, have you signed a petition about an environmental issue?"
872,grnmoney," In the last five years , have you given money to an environmental group?"
873,grndemo," In the last five years, have you taken part in a protest or demonstration about an environmental issue?"
874,airpollu," (Thinking about your neighborhood, to what extent, if at all, was it affected by the following things over the last twelve months?) Air pollution"
875,wtrpollu," (Thinking about your neighborhood, to what extent, if at all, was it affected by the following things over the last twelve months?) Water pollution"
876,exweathr," (Thinking about your neighborhood, to what extent, if at all, was it affected by the following things over the last twelve months?) Extreme weather events (such as severe storms, droughts, floods, heat waves, cold snaps, etc.)"
877,quallife," In general, would you say your quality of life isâ¦"
878,hlthphys," In general, how would you rate your physical health?"
879,hlthmntl," In general, how would you rate your mental health, including your mood and your ability to think?"
880,satsoc," In general, how would you rate your satisfaction with your social activities and relationships?"
881,actssoc," In general, please rate how well you carry out your usual social activities and roles. (This includes activities at home, at work and in your community, and responsibilities as a parent, child, spouse, employee, friend, etc.)"
882,physacts," To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?"
883,emoprobs," In the past seven days, how often have you been bothered by emotional problems such as feeling anxious, depressed or irritable?"
884,fatigue," In the past seven days, how would you rate your fatigue on average?"
885,ratepain1," On a scale from 0 to 10, with 0 meaning no pain and 10 being the worst imaginable pain, how would you rate your pain on average?"
886,norelgsp," Do you consider yourself to be atheist, agnostic, something else, or nothing in particular?"
887,evangclx," Would you describe yourself as a 'born again' or evangelical Christian, or not?"
888,evangcly," Would you describe yourself as an evangelical Christian, or not?"
889,religimp," How important is religion in your life â very important, somewhat important, not too important, or not at all important?"
890,relidimp," When thinking about religion, how important is being (a Christian/a Catholic/a Jew/a Buddhist/a Hindu/a Muslim/an Atheist/an Agnostic/someone who does not identify with a religion/ a member of your religion) to you?"
891,relidesc, How well does the term (Christian/Catholic/Jew/Buddhist/Hindu/Muslim/Atheist/Agnostic/non-religious/N/A) describe you?
892,relidwe," When talking about (Christians/Catholics/Jews/Buddhists/Hindus/Muslims/Atheists/Agnostics/people who do not identify with a religion/your religion), how often do you say 'we' instead of 'they'?"
893,relidins," If someone criticized (Christians/Catholics/Jews/Buddhists/Hindus/Muslims/Atheists/Agnostics/people who do not identify with a religion/your religion), to what extent would it feel like a personal insult?"
894,biblauth, The Bible is the highest authority for what I believe.
895,evngelze, It is very important for me personally to encourage non-Christians to accept Jesus Christ as their Savior.
896,sinsacri, Jesus Christâs death on the cross is the only sacrifice that could remove the penalty of my sin.
897,chrstsav, Only those who accept Jesus Christ alone as their Savior can achieve eternal salvation.
898,sprtconnct," (Some people say they have experiences of being personally moved, touched, or inspired, while others say they do not have these experiences at all. How often, if at all, do you experience each of the following?) Felt particularly connected to the world around you."
899,sprtlrgr," (Some people say they have experiences of being personally moved, touched, or inspired, while others say they do not have these experiences at all. How often, if at all, do you experience each of the following?) Felt like you were part of something much larger than yourself."
900,sprtpurp," (Some people say they have experiences of being personally moved, touched, or inspired, while others say they do not have these experiences at all. How often, if at all, do you experience each of the following?) Felt a sense of a larger meaning or purpose in life."
901,mditate1, How often do you meditate?
902,grtwrks," (Please indicate to what extent you agree or disagree with each of the following statements.) The great works of philosophy and science are the best source of truth, wisdom, and ethics."
903,freemind," (Please indicate to what extent you agree or disagree with each of the following statements.) To understand the world, we must free our minds from old traditions and beliefs."
904,decevidc," (Please indicate to what extent you agree or disagree with each of the following statements.) When I make important decisions in my life, I rely mostly on reason and evidence."
905,advfmsci, (Please indicate to what extent you agree or disagree with each of the following statements.) All of the greatest advances for humanity have come from science and technology.
906,prochoic, (We hear a lot of talk these days about abortion. Please indicate to what extent you agree or disagree with each of the following statements.) I consider myself pro-choice.
907,prolife, (We hear a lot of talk these days about abortion. Please indicate to what extent you agree or disagree with each of the following statements.) I consider myself pro-life.
908,godusa, (Please indicate to what extent you agree or disagree with each of the following statements.) The success of the United States is part of Godâs plan.
909,govchrst, (Please indicate to what extent you agree or disagree with each of the following statements.) The federal government should advocate Christian values.
910,religinf, (Please indicate to what extent you agree or disagree with each of the following statements.) The U.S. would be a better country if religion had less influence.
911,buseqinc," Some people think that major companies ought to reduce the pay differences between employees with high pay and those with low pay, perhaps by reducing the pay of executives or by increasing the pay of unskilled workers. Others think that major companies should not concern themselves with reducing this pay difference between employees with high pay and those with low pay. Think of a score of 1 as meaning that major companies ought to reduce the pay differences between employees with high pay and those with low pay, and a score of 7 meaning that major companies should not concern themselves with reducing pay differences. What score between 1 and 7 comes closest to the way you feel?"
912,trdunio1, To what extent do you agree or disagree with the following statements? Workers need strong trade unions to protect their interests.
913,boardrep, (To what extent do you agree or disagree with the following statements?) Workers should be represented on the board of directors at major companies.
914,upwages, (To what extent do you agree or disagree with the following statements?) The government should ensure that the wages of low-paying jobs increase as the economy grows.
915,limitpay, (To what extent do you agree or disagree with the following statements?) The government should take steps to limit the pay of executives at major companies.
916,inequal5, (To what extent do you agree or disagree with the following statements?) Large differences in income are necessary for America's prosperity.
917,inequal6, (To what extent do you agree or disagree with the following statements?) Allowing business to make good profits is the best way to improve everyoneâs standard of living.
918,govfnanc," (To what extent do you agree or disagree with the following statements?) The government should finance projects to create new jobs, even if it might require a tax increase to pay for it."
919,dclindus," (To what extent do you agree or disagree with the following statements?) The government should support declining industries to protect jobs, even if it might require a tax increase to pay for it."
920,govfnaid," (To what extent do you agree or disagree with the following statements?) The government should give financial assistance to college students from low-income families, even if it might require a tax increase to pay for it."
921,partners, How many sex partners have you had in the last 12 months?
922,paidsex," (If you had other partners, does this describe any of them?) Person you paid or paid you for sex"
923,othersex," (If you had other partners, does this describe any of them?...) Other"
924,frndsex," (If you had other partners, does this describe any of them?...) Close personal friend"
925,acqntsex," (If you had other partners, does this describe any of them?...) Neighbor, co-worker, or long-term acquaintance"
926,pikupsex," (If you had other partners, does this describe any of them?...) Casual date or pick-up"
927,matesex, Was one of the partners your husband or wife or regular sexual partner?
928,sexsex, Have your sex partners in the last 12 months beenâ¦
929,sexfreq, About how often did you have sex during the last 12 months?
930,partnrs5," Now thinking about the past five years--the time since February/March 2015, and including the past 12 months, how many sex partners have you had in that five year period?"
931,sexsex5," (Now thinking about the past five years--the time since February/March 2015, and including the past 12 month), have your sex partners in the last five years beenâ¦"
932,numwomen," Now thinking about the time since your 18th birthday (including the past 12 months), how many female partners have you had sex with?"
933,nummen," Now thinking about the time since your 18th birthday (including the past 12 months), how many male partners have you had sex with?"
934,evpaidsx," Thinking about the time since your 18th birthday, have you ever had sex with a person you paid or who paid you for sex?"
935,evstray, Have you ever had sex with someone other than your husband or wife while you were married?
936,condom," The last time you had sex, was a condom used? By 'sex' we mean vaginal, oral, or anal sex."
937,relatsex," The last time you had sex, was it with someone you were in an on-going relationship with, or was it with someone else? Remember that by 'sex' we mean only vaginal, oral, or anal sex."
938,evidu," Have you ever, even once, taken any drugs by injection with a needle (like heroin, cocaine, amphetamines, or steroids)? DO NOT include anything you took under a doctorâs orders."
939,idu30, How long has it been since you last used a needle to inject drugs?
940,evcrack," Have you ever, even once, used 'crack' cocaine in chunk or rock form?"
941,crack30, How long has it been since you last used 'crack' cocaine in chunk or rock form?
942,hivtest, Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include oral test (where they take a swab from your mouth).
943,hivtest1," Not including blood donations, in what month and year was your last HIV test?"
944,hivtest2," Where did you have your last HIV test - at a private doctor or HMO office, at a counseling and testing site, at an emergency room, as an inpatient at a hospital, at a clinic, in a jail or prison, at a drug treatment facility, at home, or somewhere else?"
945,hivafraid, Please indicate how much you agree or disagree with each of the following comments. I would be afraid to be around a person with HIV because I would be worried I could get infected.
946,hivimmrl, (Please indicate how much you agree or disagree with each of the following comments.) People who have HIV have participated in immoral activities
947,hivdscrm, (Please indicate how much you agree or disagree with each of the following comments.) There is a lot of discrimination against people with HIV in this country today.
948,sexornt, Which of the following best describes you?
949,sexbirth1, Was your sex recorded as male or female at birth?
950,sexnow1," Do you describe yourself as male, female, or transgender?"
951,ptnrornt," To the best of your knowledge, which of the following best describes how your most recent sexual partner thinks of themselves?"
952,ptnrsxbrth," To the best of your knowledge, was your most recent sexual partnerâs sex recorded as male or female at birth?"
953,ptnrsxnow," To the best of your knowledge, does your most recent sexual partner describe themselves as male, female, or transgender?"
954,poltrtblk," The following questions are about police and law enforcement. In general, do the police (treat Whites better than Blacks, treat them both the same, or treat Blacks better than Whites/treat Blacks better than Whites, treat them both the same, or treat Whites better than Blacks)?"
955,poltrthsp," In general, do the police (treat Whites better than Latinos, treat them both the same, or treat Latinos better than Whites/treat Latinos better than Whites, treat them both the same, or treat Whites better than Latinos)?"
956,defund," Do you favor or oppose reducing funding for police departments, and moving those funds to mental health, housing, and other social services?"
957,strvbias, Which do you think should be the bigger priority for the U.S. criminal justice system today?
958,racesurv17," How much, if at all, do you think the legacy of slavery affects the position of black people in American society today?"
959,dwelling, DWELLING TYPE.
960,inthisp," Interviewer, are you Spanish, Hispanic, or Latino/Latina? Which group are you from: Mexican, Mexican American, Chicano/Chicana, Puerto Rican, Cuban, Other. Please specific other."
961,intrace1, (What is your race? Indicate one or more races that you consider yourself to be.) First mention.
962,intrace2, Second mention.
963,intrace3, Third mention.
964,whoelse1, Children under 6
965,whoelse2, Older Children
966,whoelse3, Spouse or Partner
967,whoelse4, Other Relatives
968,whoelse5, Other Adults
969,whoelse6, No One
970,feeused, Was a respondent incentive or fee used as part of getting this case?
971,feelevel, Amount of Fees Paid
972,lngthinv, How long was interview?
973,mode," Interview done in-person, over the phone, a combination of in-person and over the phone, or web"
974,intage, Age of interviewer
975,intethn, Race/ethnicity of interviewer
976,intsex, Sex of interviewer
977,intyrs, Years of service as an interviewer at NORC
978,consent, PARTICIPATION/RECORDING CONSENT
979,adminconsent, May we try to link government records with your survey answers?
980,hlthstrt," WOULD YOU SAY THE RESPONDENT'S HEALTH IN GENERAL IS EXCELLENT, GOOD, FAIR, OR POOR?"
981,huadd, IS THERE A HOUSING UNIT (HU) AT THE ADDRESS SHOWN ON THE ASSIGNMENT LABEL?
